seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,posterior_ema,qualification_hidden,c41_clip030_video036,24,0.8333333333333334,1.3527050731718078,1.3801940380932567
13800,posterior_ema,qualification_hidden,c36_clip027_video062,24,0.875,0.78723708718152,1.0590900160991943
13800,posterior_ema,qualification_hidden,c32_clip003_video013,24,1.0,0.4929660006976045,0.5146727264399599
13800,posterior_ema,qualification_hidden,c19_clip018_video022,24,1.0,0.45192055280990145,0.4660614803074263
13800,posterior_ema,qualification_hidden,c34_clip009_video062,24,1.0,0.01941410237783087,
13800,posterior_ema,qualification_hidden,c19_clip025_video079,24,1.0,0.05708552354581276,0.10911337145241216
13800,posterior_ema,qualification_hidden,c25_clip005_video044,24,0.9583333333333334,0.07079978082192827,0.13009423796466724
13800,posterior_ema,qualification_hidden,c31_clip004_video029,24,0.4166666666666667,1.6139689910462478,1.1430347197879813
13800,posterior_ema,qualification_hidden,c00_clip004_video068,24,1.0,0.06053398519353037,0.11139587754295975
13800,posterior_ema,qualification_hidden,c45_clip027_video018,24,0.0,3.4952696336479216,3.3245518422252913
13800,posterior_ema,qualification_hidden,c20_clip009_video008,24,1.0,0.5536672059877471,
13800,posterior_ema,qualification_hidden,c22_clip008_video009,24,1.0,0.25960971453234355,0.23421997750458634
13800,posterior_ema,qualification_hidden,c38_clip005_video019,24,1.0,0.2629977895243852,0.25736077556961584
13800,posterior_ema,qualification_hidden,c49_clip021_video018,24,0.9583333333333334,0.45115796228182753,0.6175823107071235
13800,posterior_ema,qualification_hidden,c02_clip004_video163,24,0.0,3.0824233054551633,3.022043896332006
13800,posterior_ema,qualification_hidden,c05_clip029_video068,24,0.9583333333333334,0.21359275339384154,0.2692798671836563
13800,posterior_ema,qualification_hidden,c36_clip008_video063,24,1.0,0.40868709272242315,
13800,posterior_ema,qualification_hidden,c17_clip006_video112,24,1.0,0.05590489475343915,0.10752677585065762
13800,posterior_ema,qualification_hidden,c03_clip000_video095,24,0.5,1.4038265958381058,1.3700984670333032
13800,posterior_ema,qualification_hidden,c21_clip020_video073,24,0.16666666666666666,1.5339802420611275,1.733473352044877
13800,posterior_ema,qualification_hidden,c49_clip010_video008,24,0.9583333333333334,0.4453774099873414,0.6339327807365561
13800,posterior_ema,qualification_hidden,c28_clip015_video098,24,0.9166666666666666,0.4611046269496102,0.7833903315514661
13800,posterior_ema,qualification_hidden,c07_clip012_video077,24,0.4583333333333333,1.696807381043327,
13800,posterior_ema,qualification_hidden,c38_clip032_video015,24,0.4583333333333333,1.7612833734937403,1.589334528271202
13800,posterior_ema,qualification_hidden,c45_clip020_video015,24,0.25,2.2182998465041455,2.2789893416677836
13800,posterior_ema,qualification_hidden,c00_clip002_video203,24,1.0,0.05974611466243535,0.11015051417728505
13800,posterior_ema,qualification_hidden,c44_clip023_video008,24,0.0,3.6170283618931247,3.7163128315030147
13800,posterior_ema,qualification_hidden,c48_clip011_video015,24,1.0,0.538085810937513,0.63624133069005
13800,posterior_ema,qualification_hidden,c42_clip004_video131,24,1.0,0.11391847408322364,
13800,posterior_ema,qualification_hidden,c33_clip012_video038,24,0.3333333333333333,2.3699833257196734,2.5438047270625583
13800,posterior_ema,qualification_hidden,c47_clip000_video001,24,0.0,3.8903378403670934,3.7874848061453257
13800,posterior_ema,qualification_hidden,c23_clip034_video044,24,1.0,0.052344782422198234,0.10381368802306655
13800,posterior_ema,qualification_hidden,c41_clip008_video020,24,0.5833333333333334,1.5927729816483829,1.7273333045420236
13800,posterior_ema,qualification_hidden,c36_clip021_video038,24,0.9583333333333334,0.3552884936610973,0.5167397519153353
13800,posterior_ema,qualification_hidden,c02_clip024_video128,24,0.875,1.4570424186071946,
13800,posterior_ema,qualification_hidden,c16_clip007_video001,24,1.0,0.47780765523039176,0.681471527463651
13800,posterior_ema,qualification_hidden,c24_clip009_video041,24,0.9166666666666666,0.6091034921867787,1.1131066441136444
13800,posterior_ema,qualification_hidden,c44_clip025_video017,24,0.4166666666666667,1.4865507782320193,1.6436691924016449
13800,posterior_ema,qualification_hidden,c12_clip020_video113,24,0.2916666666666667,2.2825249967969867,1.440446699438664
13800,posterior_ema,qualification_hidden,c21_clip032_video109,24,0.6666666666666666,1.4385270283950196,2.2651350047601038
13800,direct_alpha,qualification_hidden,c21_clip027_video067,24,0.7083333333333334,1.0890175554517867,
13800,direct_alpha,qualification_hidden,c38_clip024_video014,24,0.9166666666666666,1.16256825205632,1.562121711349078
13800,direct_alpha,qualification_hidden,c46_clip013_video010,24,1.0,0.19291643822903803,0.23994241876712294
13800,direct_alpha,qualification_hidden,c37_clip013_video007,24,1.0,0.057695126635357946,0.08859599610305796
13800,direct_alpha,qualification_hidden,c50_clip003_video022,24,1.0,0.06944508802071707,0.10265077038301607
13800,direct_alpha,qualification_hidden,c26_clip011_video014,24,1.0,0.7755189971960966,0.8714751559996627
13800,direct_alpha,qualification_hidden,c03_clip015_video008,24,0.08333333333333333,1.6924117083275518,
