user_id,task_index,n_classes,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,n_excluded_query_videos,excluded_query_video_ids,seed
P198,24,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,25,10,0.6389380530973451,0.7283185840707964,0.0893805309734513,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,26,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,27,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,28,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,29,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,30,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,31,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,32,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,33,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,34,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,35,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,36,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,37,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,38,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,39,10,0.6389380530973451,0.7283185840707964,0.0893805309734513,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,40,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,41,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,42,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,43,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,44,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,45,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,46,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,47,10,0.6407079646017699,0.7292035398230089,0.0884955752212389,0.552212389380531,39674.43433078129,17.378235272160495,0,[],13400
P198,48,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P198,49,10,0.6380530973451327,0.727433628318584,0.0893805309734513,0.5530973451327433,39674.43433078129,17.378235272160495,0,[],13400
P204,0,9,0.5403612479474549,0.5888341543513957,0.0484729064039408,0.3392446633825944,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
P204,1,9,0.5399014778325123,0.588768472906404,0.0488669950738916,0.3380623973727422,19361.051008566435,10.529431177301555,2,"[""P204--backpack--clutter--DnuhHsQgq_C2vTDZAzwxckmLA50tsz0UodeFQn1ExmA"", ""P204--virgin-remote-control--clutter--_fZS0VqsbNA3hr4dZoBoOJM7zqJgijA3VaQPk4QFJFI""]",13400
