participant_id,fold,method,candidate_id,response_sigma,conditional_update_nll,conditional_update_mse,free_run_bucket_mse,early_update_nll,late_update_nll
7,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.75355191738959,7.534469621288266,11.641789367903135,2.7587738553841796,2.7332493206160757
12,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.866436213654564,14.46135615190051,19.23082243485381,2.8823858753892395,2.813976856285506
18,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.3369698244101884,43.33457446822703,46.74796964174739,3.3344564035271715,3.536855187018155
20,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.9990678353652696,22.599992121288263,27.742058442359195,3.050033889303207,2.982213165175069
21,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.1041497656129597,29.048104315165816,37.79718783172614,2.979095478544647,3.035365825528846
28,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.808046187267257,10.878385794757651,10.774734627442974,2.8822178621168586,2.8035243684160562
31,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.4339933275638006,49.28819972332907,66.58897965667245,3.333086202510482,3.23257540376816
35,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.169505586681855,33.05851472332908,35.247370842147625,3.1779429122040623,3.029847714603649
42,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,3.264303550102789,38.875574825369895,44.687435337984454,3.8820044755149836,2.9687250511941463
43,2,fixed_gain,fixed_gain:51c258c93a20,5.539075361941649,2.8725239805934755,14.834918039655612,16.58735079151824,2.7229946755193604,2.926133377011349
