seed,method,heldout_nll,heldout_latent_mse,heldout_early_nll,heldout_late_nll
39115,clamp_q,0.8849352103618204,0.07736729058628149,1.0315911459862885,0.7829202234280355
39115,clamp_r,0.9883846547636772,0.09234713297919639,1.0533387780146755,0.8801983670460517
39115,factorized,0.8685256777804352,0.06503951871484441,1.0157474423449102,0.7781992473017525
39115,oracle_dynamic,0.753845036456008,0.052197440037115454,0.7160097427216411,0.7077379739533558
39115,oracle_factorial_imm,0.7927944914464474,0.05615645627839447,0.8370445469724755,0.7245196532529755
39115,seen_mode_imm,0.9260882977329709,0.07645835826336839,0.9153042455316075,0.8508224139503522
39115,selected_fixed,1.2200178662102454,0.07976862070625568,1.122384691526303,1.150652972580271
39116,clamp_h,0.8507158095957486,0.062495172498195105,1.1104265928084192,0.7818359637036579
39116,clamp_q,0.8797401288509723,0.07020158822734618,1.1795380633276389,0.7617345580382756
39116,clamp_r,0.9213833267332397,0.08754546093753103,0.9662316579637157,0.8782535214736172
39116,factorized,0.8344656871852231,0.06410888848369599,1.0908894882895142,0.7590889251794876
39116,oracle_dynamic,0.7034072805671966,0.050748055563481644,0.6769610729465135,0.700970845495497
39116,oracle_factorial_imm,0.7421660362830832,0.05532357819315037,0.812362293052467,0.7188595214921287
39116,seen_mode_imm,0.8558965370378838,0.06976793357868553,0.8952923327410731,0.8377250023138215
39116,selected_fixed,1.0714088756444364,0.08005537978297893,1.0267111649287028,1.04863670521007
39117,clamp_h,0.8670115164716873,0.0587627232113347,1.0358876755685202,0.8320949379506143
39117,clamp_q,0.8898555756430226,0.06817321046499558,1.1127127641391068,0.8453250857697987
39117,clamp_r,0.9709818780830404,0.08299365021211065,1.0444738087950913,0.8738349677682992
39117,factorized,0.8500420378973104,0.05876343370750434,1.0209491950481022,0.8072435766892883
39117,oracle_dynamic,0.733496248866331,0.04859236949075629,0.7168168659638623,0.719303316210428
39117,oracle_factorial_imm,0.7727836799723289,0.05106996236535058,0.8525970769088964,0.7503222863890171
39117,seen_mode_imm,0.9056148249033428,0.07049935669458535,0.9554536988402018,0.9276239653993097
39117,selected_fixed,1.1234274631565009,0.07222465285487031,1.080483368241811,1.0626527957426328
39118,clamp_h,0.853000441695166,0.05904794000594208,1.1028440809093025,0.7607767357334894
39118,clamp_q,0.8709946732882563,0.06465042335523304,1.1413155300060984,0.777608923915166
39118,clamp_r,0.9223838258565572,0.08224975588405271,1.0418643567052477,0.8267875086845087
39118,factorized,0.8364404088183609,0.059805004820735294,1.0725323811911929,0.7536811753486738
39118,oracle_dynamic,0.7183692437772562,0.04747788539867952,0.6950911018607858,0.7023969880937085
39118,oracle_factorial_imm,0.7564402122020769,0.05134023076692741,0.8415339523580678,0.7118707094375564
39118,seen_mode_imm,0.86954168591298,0.06812354799876684,0.9574373640376501,0.7946546911323011
39118,selected_fixed,1.1053367187379712,0.07017124877577623,1.142992135306034,1.0747205790962178
39119,clamp_h,0.8317101281413269,0.05990067303558537,0.9926389426058712,0.8220012814917064
39119,clamp_q,0.8399255338377395,0.0664944685203616,1.0039201619027365,0.7976006955850564
39119,clamp_r,0.923636111145605,0.0897735994989233,0.9965065647793473,0.9005471971025315
39119,factorized,0.8148069500139481,0.06044307182570327,0.9592638117966389,0.7985833722599688
39119,oracle_dynamic,0.7261397770724579,0.0516153736252348,0.791338684668602,0.7341266358966936
39119,oracle_factorial_imm,0.7627891346263269,0.05500303047832717,0.9179106820514785,0.7451901214737487
39119,seen_mode_imm,0.8747057061283153,0.07236671814044308,1.0457563957895193,0.8663123640177963
39119,selected_fixed,1.126843046893721,0.07955985422101564,1.1401328860438382,1.120280977787829
39120,clamp_h,0.8675462216179505,0.06282833634462544,1.2285879209779536,0.7735259787328137
39120,clamp_q,0.8921469172143768,0.07074640995393025,1.270900896762006,0.8182297408163346
39120,clamp_r,0.9817516704477354,0.09115782695979117,1.181540639252925,0.857010598819745
39120,factorized,0.8549468987729942,0.06404513974751498,1.2030354822178695,0.7674768321667089
39120,oracle_dynamic,0.7277186348325928,0.05138583485641516,0.7536401118509749,0.7164759460572996
39120,oracle_factorial_imm,0.7694400123164561,0.05427266107785246,0.9102167449002863,0.7353012457946855
39120,seen_mode_imm,0.9009981909433619,0.07620912767745941,1.0402751553204768,0.9215928465411622
39120,selected_fixed,1.1710630896428256,0.07915885793836494,1.2462984116518943,1.145985932827127
39121,clamp_h,0.8730679004823787,0.06279322899168137,1.0999335536855035,0.8363337274775565
