seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39128,fixed,fixed_jump,0.06:0.04:0.04,,0.3316734044818652,0.06,0.04,0.04,False
39128,fixed,fixed_jump,0.0025:0.01:0.04,,0.33618243380261476,0.0025,0.01,0.04,False
39128,fixed,fixed_jump,0.06:0.04:0.01,,0.338783685647603,0.06,0.04,0.01,False
39128,fixed,fixed_jump,0.0025:0.04:0.04,,0.3408133443418377,0.0025,0.04,0.04,False
39128,fixed,fixed_jump,0.03:0.04:0.01,,0.34981320481620887,0.03,0.04,0.01,False
39128,fixed,fixed_jump,0.01:0.0025:0.04,,0.3650719868246908,0.01,0.0025,0.04,False
39128,fixed,fixed_jump,0.01:0.04:0.01,,0.38218986871881455,0.01,0.04,0.01,False
39128,fixed,fixed_jump,0.0025:0.0025:0.04,,0.4148504056621327,0.0025,0.0025,0.04,False
39128,fixed,fixed_jump,0.06:0.01:0.01,,0.4249877465411105,0.06,0.01,0.01,False
39128,fixed,fixed_jump,0.0025:0.04:0.01,,0.42567464673496974,0.0025,0.04,0.01,False
39128,fixed,fixed_jump,0.03:0.0025:0.16,,0.4570011807698386,0.03,0.0025,0.16,False
39128,fixed,fixed_jump,0.01:0.01:0.16,,0.4596795487403548,0.01,0.01,0.16,False
39128,fixed,fixed_jump,0.03:0.01:0.16,,0.45996633821625665,0.03,0.01,0.16,False
39128,fixed,fixed_jump,0.06:0.0025:0.16,,0.4664156945906351,0.06,0.0025,0.16,False
39128,fixed,fixed_jump,0.01:0.0025:0.16,,0.46795814696012766,0.01,0.0025,0.16,False
39128,fixed,fixed_jump,0.03:0.01:0.01,,0.46976652185834683,0.03,0.01,0.01,False
39128,fixed,fixed_jump,0.0025:0.01:0.16,,0.4724218516591005,0.0025,0.01,0.16,False
39128,fixed,fixed_jump,0.06:0.01:0.16,,0.4751154290575165,0.06,0.01,0.16,False
39128,fixed,fixed_jump,0.0025:0.0025:0.16,,0.49632850306429566,0.0025,0.0025,0.16,False
39128,fixed,fixed_jump,0.01:0.04:0.16,,0.5126655258378955,0.01,0.04,0.16,False
39128,fixed,fixed_jump,0.03:0.04:0.16,,0.5167870014669728,0.03,0.04,0.16,False
39128,fixed,fixed_jump,0.0025:0.04:0.16,,0.5210075645012128,0.0025,0.04,0.16,False
39128,fixed,fixed_jump,0.06:0.04:0.16,,0.5339356390166529,0.06,0.04,0.16,False
39128,fixed,fixed_jump,0.06:0.0025:0.01,,0.5370820091022827,0.06,0.0025,0.01,False
39128,fixed,fixed_jump,0.01:0.01:0.01,,0.5498453978562307,0.01,0.01,0.01,False
39128,fixed,fixed_jump,0.03:0.0025:0.01,,0.6095250330334405,0.03,0.0025,0.01,False
39128,fixed,fixed_jump,0.0025:0.01:0.01,,0.6449152709962963,0.0025,0.01,0.01,False
39128,fixed,fixed_jump,0.01:0.0025:0.01,,0.7360836571800219,0.01,0.0025,0.01,False
39128,fixed,ema,0.7,0.27232885434531773,0.789610968913771,,,,False
39128,fixed,window,2,0.3002514461531448,0.8346908028036726,,,,False
39128,fixed,ema,0.4,0.32268912667331234,0.8757281361158142,,,,False
39128,fixed,fixed_jump,0.0025:0.0025:0.01,,0.8922191021318598,0.0025,0.0025,0.01,False
39128,fixed,window,4,0.38122019824345216,0.9537717875417989,,,,False
39128,fixed,ema,0.2,0.4602686598126516,1.063120319579033,,,,False
39128,fixed,window,8,0.5406116038753482,1.1390483846098187,,,,False
39128,fixed,ema,0.1,0.6698003642840078,1.273755419435723,,,,False
39128,fixed,window,16,0.8274876445393318,1.362898487575535,,,,False
39128,fixed,ema,0.05,0.9461770820379151,1.4786916364764782,,,,False
39128,fixed,window,32,1.1178141174536298,1.5585671019773972,,,,False
39128,fixed,ema,0.02,1.4312052110563347,1.744605322966554,,,,False
39128,fixed,window,64,1.4801025319960484,1.7574529954040743,,,,False
39128,oracle_imm,oracle_imm,0.015625,,0.0022245424298305374,,,,True
39128,oracle_imm,oracle_imm,0.0078125,,0.0029959159221635487,,,,False
