seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43002,learned_event_learned_qr,40,3,111,101,8,8,0.9695127401781005,0.12625924209157152
43002,learned_event_learned_qr,40,3,111,101,16,16,1.1116731653738499,0.13441252604256615
43002,learned_event_learned_qr,41,3,101,101,1,1,0.7171572370921975,0.025680915865616032
43002,learned_event_learned_qr,41,3,101,101,4,4,0.34019509428698097,0.02238089420652571
43002,learned_event_learned_qr,41,3,101,101,8,8,0.2643022740597408,0.04336666719446059
43002,learned_event_learned_qr,41,3,101,101,16,16,0.4791014439426475,0.037042175918868936
43002,learned_event_learned_qr,42,3,101,011,1,1,0.42814654456351137,0.05352963359918775
43002,learned_event_learned_qr,42,3,101,011,4,4,2.3063497981252135,0.30598011924787966
43002,learned_event_learned_qr,42,3,101,011,8,8,1.6365132426212459,0.16136246815489444
43002,learned_event_learned_qr,42,3,101,011,16,16,1.2674725941283138,0.13218907991717263
43002,learned_event_learned_qr,43,3,011,011,1,1,0.8623853392990474,0.059444457970874484
43002,learned_event_learned_qr,43,3,011,011,4,4,0.7237566778244848,0.11469088009374477
43002,learned_event_learned_qr,43,3,011,011,8,8,0.7695224766001931,0.0892603691766381
43002,learned_event_learned_qr,43,3,011,011,16,16,0.7580427305217741,0.1300225675770227
43002,learned_event_learned_qr,44,3,011,011,1,1,0.6855099558168396,0.027780609701254434
43002,learned_event_learned_qr,44,3,011,011,4,4,0.8851441046219388,0.1356947888183576
43002,learned_event_learned_qr,44,3,011,011,8,8,0.7508701386783363,0.08018710163113496
43002,learned_event_learned_qr,44,3,011,011,16,16,0.5175487905819665,0.05780384132528067
43002,learned_event_learned_qr,45,3,011,110,1,1,2.47261543289294,0.0616795190234573
43002,learned_event_learned_qr,45,3,011,110,4,4,0.9649964822050927,0.02392095226704976
43002,learned_event_learned_qr,45,3,011,110,8,8,0.7802823733850958,0.02718753083504904
43002,learned_event_learned_qr,45,3,011,110,16,16,0.7832104345276052,0.03213720715757083
43002,learned_event_learned_qr,46,3,110,111,1,1,-0.2711860813699677,0.00046427694098840624
43002,learned_event_learned_qr,46,3,110,111,4,4,0.6502264752011906,0.04385928173402578
43002,learned_event_learned_qr,46,3,110,111,8,8,0.619342758025532,0.048677622533717775
43002,learned_event_learned_qr,46,3,110,111,16,16,1.1057008053256054,0.06150352458316284
43002,learned_event_learned_qr,47,3,111,101,1,1,0.5531327044407116,0.004358603140389432
43002,learned_event_learned_qr,47,3,111,101,4,4,0.45298349698464646,0.04850111358791495
43002,learned_event_learned_qr,47,3,111,101,8,8,0.5641189210715241,0.04193311461212736
43002,learned_event_learned_qr,47,3,111,101,16,16,0.4303477605674705,0.05950157019533732
43002,oracle_event_learned_qr,1,0,101,111,1,1,1.8047773840950718,0.03221934373220403
43002,oracle_event_learned_qr,1,0,101,111,4,4,1.9077758244088354,0.07227883349552489
43002,oracle_event_learned_qr,1,0,101,111,8,8,1.3498913136212423,0.05815393935104795
43002,oracle_event_learned_qr,1,0,101,111,16,16,1.4700943580810812,0.06164075054184125
43002,oracle_event_learned_qr,2,0,111,110,1,1,0.9855246787144676,0.0023359420072103405
43002,oracle_event_learned_qr,2,0,111,110,4,4,0.5700569460480502,0.0012950830313221973
43002,oracle_event_learned_qr,2,0,111,110,8,8,0.7996194222913231,0.0019998596792756415
43002,oracle_event_learned_qr,2,0,111,110,16,16,0.44802720259697704,0.001961664742043283
43002,oracle_event_learned_qr,3,0,110,011,1,1,5.773162925163903,0.11149664256448344
43002,oracle_event_learned_qr,3,0,110,011,4,4,2.855398051026985,0.03878875439454726
43002,oracle_event_learned_qr,3,0,110,011,8,8,1.7238631264538489,0.04466727865962834
43002,oracle_event_learned_qr,3,0,110,011,16,16,1.3563347607023168,0.057421908106324006
43002,oracle_event_learned_qr,4,0,011,110,1,1,5.590326892740503,0.0007617708003058463
43002,oracle_event_learned_qr,4,0,011,110,4,4,1.6449486932970174,0.008915591006788823
43002,oracle_event_learned_qr,4,0,011,110,8,8,0.8328240404817642,0.00592738556523542
43002,oracle_event_learned_qr,4,0,011,110,16,16,0.7905537865676479,0.006697226338356487
43002,oracle_event_learned_qr,5,0,110,101,1,1,0.8950190926728471,0.07673918713920053
43002,oracle_event_learned_qr,5,0,110,101,4,4,0.9176797231924214,0.09230700201203734
43002,oracle_event_learned_qr,5,0,110,101,8,8,0.8128311080220708,0.07986609032713633
43002,oracle_event_learned_qr,5,0,110,101,16,16,1.2424414619728266,0.14376996774684894
43002,oracle_event_learned_qr,6,0,101,101,1,1,0.26483522646781255,0.017626611584249177
43002,oracle_event_learned_qr,6,0,101,101,4,4,0.80390641255737,0.05641211762497879
43002,oracle_event_learned_qr,6,0,101,101,8,8,0.6164949263893983,0.05792441490152592
43002,oracle_event_learned_qr,6,0,101,101,16,16,0.7220529061154302,0.07211740825741672
43002,oracle_event_learned_qr,7,0,101,011,1,1,0.6707731583738888,0.06223559950687368
43002,oracle_event_learned_qr,7,0,101,011,4,4,0.30853983631643916,0.050156363015678065
43002,oracle_event_learned_qr,7,0,101,011,8,8,0.73171348050119,0.048378118786927445
43002,oracle_event_learned_qr,7,0,101,011,16,16,0.8188624745502984,0.07852690068547959
