hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.01,0.0625,16,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,6.25,0.16
0.01,0.0625,16,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,6.25,0.16
0.01,0.0625,16,persistent_rpe_local,30,0.7793131510416667,0.015419487625472881,0.11873372395833333,12.466666666666667,0.01483509652177097,0.9116374683114778,0.28844962636069915,6.25,0.16
0.01,0.0625,16,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,6.25,0.16
0.01,0.125,0,bayes_reward_filter,30,0.80341796875,0.010952958331232616,0.09462890625,10.6,0.017185555843079535,0.5502926650795625,0.18451693599132135,12.5,0.0
0.01,0.125,0,credit_shuffled_local,30,0.7197102864583333,0.013736056808940645,0.17833658854166667,0.43333333333333335,0.04575333667512824,1.446066094746276,0.45779637449863125,12.5,0.0
0.01,0.125,0,cumulative_sample_average,30,0.7574625651041667,0.017012781743545265,0.14058430989583334,7.1,0.0011913067856273334,2.6141522184866037,0.4013572309725353,12.5,0.0
0.01,0.125,0,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,12.5,0.0
0.01,0.125,0,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,12.5,0.0
0.01,0.125,0,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,12.5,0.0
0.01,0.125,0,persistent_rpe_local,30,0.8093180338541667,0.012953103715576508,0.08872884114583333,12.55,0.015180012827341235,0.8334710495292731,0.23454790505575662,12.5,0.0
0.01,0.125,0,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,12.5,0.0
0.01,0.125,4,bayes_reward_filter,30,0.7977945963541667,0.011893654540744614,0.10025227864583333,12.683333333333334,0.017160724459614033,0.5735573304563621,0.19436722765761508,12.5,0.04
0.01,0.125,4,credit_shuffled_local,30,0.7216634114583333,0.01356107162970903,0.17638346354166667,0.03333333333333333,0.04162858721640537,1.4627519730974607,0.45672233173149096,12.5,0.04
0.01,0.125,4,cumulative_sample_average,30,0.7605387369791666,0.013257607753104049,0.13750813802083334,6.683333333333334,0.0009862589180182001,2.375306923717374,0.38513974624058606,12.5,0.04
0.01,0.125,4,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,12.5,0.04
0.01,0.125,4,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,12.5,0.04
0.01,0.125,4,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,12.5,0.04
0.01,0.125,4,persistent_rpe_local,30,0.8040771484375,0.014919775866662063,0.0939697265625,14.8,0.017095780895980534,0.8682525958952122,0.24479776436707762,12.5,0.04
0.01,0.125,4,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,12.5,0.04
0.01,0.125,16,bayes_reward_filter,30,0.781494140625,0.010410065587304139,0.116552734375,17.633333333333333,0.017604200741878004,0.6268703572235306,0.21826039271409678,12.5,0.16
0.01,0.125,16,credit_shuffled_local,30,0.7275553385416667,0.016143475036046264,0.17049153645833334,0.4,0.03723135344462177,1.4666078126525788,0.4503427832057617,12.5,0.16
0.01,0.125,16,cumulative_sample_average,30,0.7613037109375,0.01161094273029699,0.1367431640625,5.883333333333334,0.0012324956529192667,2.2639629740501253,0.3761504225340595,12.5,0.16
0.01,0.125,16,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,12.5,0.16
0.01,0.125,16,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,12.5,0.16
0.01,0.125,16,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,12.5,0.16
0.01,0.125,16,persistent_rpe_local,30,0.7892333984375,0.014809769299775856,0.1088134765625,15.3,0.021854722999184503,1.0033795394587968,0.28780328184012016,12.5,0.16
