seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43005,learned_event_learned_qr,1690,1,110,8,8,-0.09191624618723393,0.001483105685199829
43005,learned_event_learned_qr,1690,1,110,16,8,-0.09191624618723393,0.001483105685199829
43005,learned_event_learned_qr,1699,1,110,1,1,-0.10482151066729387,0.005005683434348709
43005,learned_event_learned_qr,1699,1,110,4,1,-0.10482151066729387,0.005005683434348709
43005,learned_event_learned_qr,1699,1,110,8,1,-0.10482151066729387,0.005005683434348709
43005,learned_event_learned_qr,1699,1,110,16,1,-0.10482151066729387,0.005005683434348709
43005,learned_event_learned_qr,1701,1,110,1,1,0.059539772239459984,0.005371514330289363
43005,learned_event_learned_qr,1701,1,110,4,3,1.1343242837202627,0.023241206893959417
43005,learned_event_learned_qr,1701,1,110,8,3,1.1343242837202627,0.023241206893959417
43005,learned_event_learned_qr,1701,1,110,16,3,1.1343242837202627,0.023241206893959417
43005,learned_event_learned_qr,1705,1,110,1,1,0.24562133167799988,0.03175164968687898
43005,learned_event_learned_qr,1705,1,110,4,3,0.36942235901845644,0.011245854169160867
43005,learned_event_learned_qr,1705,1,110,8,3,0.36942235901845644,0.011245854169160867
43005,learned_event_learned_qr,1705,1,110,16,3,0.36942235901845644,0.011245854169160867
43005,learned_event_learned_qr,1709,1,110,1,1,0.049988931972757014,0.0008221480702505216
43005,learned_event_learned_qr,1709,1,110,4,4,-0.05989068979671227,0.001763202049598637
43005,learned_event_learned_qr,1709,1,110,8,8,0.21747475867027413,0.0033021658052546196
43005,learned_event_learned_qr,1709,1,110,16,8,0.21747475867027413,0.0033021658052546196
43005,learned_event_learned_qr,1718,1,110,1,1,0.03150923308444216,5.826801982793184e-06
43005,learned_event_learned_qr,1718,1,110,4,4,-0.17962981122866267,0.006487322101657537
43005,learned_event_learned_qr,1718,1,110,8,8,0.5400108273576552,0.006520059231754872
43005,learned_event_learned_qr,1718,1,110,16,12,0.384622990138197,0.007946411593916338
43005,learned_event_learned_qr,1731,1,110,1,1,-0.08672690055368859,0.005196570358943688
43005,learned_event_learned_qr,1731,1,110,4,4,-0.08160538746711331,0.0058273992765864
43005,learned_event_learned_qr,1731,1,110,8,8,0.05475017054156176,0.005063453570910731
43005,learned_event_learned_qr,1731,1,110,16,16,-0.15612309577584466,0.009258701022913918
43005,learned_event_learned_qr,1755,1,110,1,1,0.05364656076958754,0.04251360924025349
43005,learned_event_learned_qr,1755,1,110,4,4,0.24054248084082475,0.02585760032449231
43005,learned_event_learned_qr,1755,1,110,8,8,-0.13666497058492177,0.023027043781338727
43005,learned_event_learned_qr,1755,1,110,16,8,-0.13666497058492177,0.023027043781338727
43005,learned_event_learned_qr,1764,1,110,1,1,-0.83467154052778,0.05126790345971235
43005,learned_event_learned_qr,1764,1,110,4,4,1.326544638698811,0.0280633192595379
43005,learned_event_learned_qr,1764,1,110,8,8,0.6943147687567015,0.01548281063693598
43005,learned_event_learned_qr,1764,1,110,16,16,0.4022833000026495,0.0105283519231799
43005,learned_event_learned_qr,1781,1,110,1,1,-0.5088904403044701,0.0005179365921850872
43005,learned_event_learned_qr,1781,1,110,4,4,-0.5213872374388332,0.0025557510317237896
43005,learned_event_learned_qr,1781,1,110,8,5,-0.5326723913167966,0.002057952575437282
43005,learned_event_learned_qr,1781,1,110,16,5,-0.5326723913167966,0.002057952575437282
43005,learned_event_learned_qr,1787,1,110,1,1,0.09507652597729772,0.0011953166519515393
43005,learned_event_learned_qr,1787,1,110,4,4,0.1290603943897467,0.006796874402094758
43005,learned_event_learned_qr,1787,1,110,8,8,-0.09274651113423435,0.0068294578143785305
43005,learned_event_learned_qr,1787,1,110,16,13,-0.15266341650116652,0.004934731235260761
43005,learned_event_learned_qr,1801,1,110,1,1,-0.6980262206966297,0.028899819679122724
43005,learned_event_learned_qr,1801,1,110,4,4,0.6843183447688214,0.017673725077297267
43005,learned_event_learned_qr,1801,1,110,8,8,0.20300568118938062,0.010011495936913159
43005,learned_event_learned_qr,1801,1,110,16,16,0.23590587981296712,0.008865758168350162
43005,learned_event_learned_qr,1831,1,110,1,1,-0.2909769722013313,0.005937081413918927
43005,learned_event_learned_qr,1831,1,110,4,4,-0.20058864745859104,0.018803249173097943
43005,learned_event_learned_qr,1831,1,110,8,8,1.0771446981156416,0.018228504973494764
43005,learned_event_learned_qr,1831,1,110,16,11,0.6974545908847554,0.014232240193404126
43005,learned_event_learned_qr,1843,1,110,1,1,-0.18698441769532737,0.015397524019759334
