seed,selection_family,candidate,selection_nll,data_split,fit_tape_digest,uses_true_parameters,selected,candidate_q,candidate_r,candidate_q_rate,candidate_r_rate,candidate_decay,candidate_prior_mass,candidate_q_fraction,candidate_switch
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.6666666666666666,0.17586165797240924,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.95:prior_mass=16.0:q_fraction=0.9,0.20327820615615014,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,16.0,0.9,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.041666666666666664,0.35807372529553066,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.08333333333333333,0.24731069969429098,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.25,0.1576540374195437,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.25,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.5,0.15914415872274462,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.5,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.6666666666666666,0.1736337373675359,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.98:prior_mass=1.0:q_fraction=0.9,0.20137319290084651,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,1.0,0.9,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.041666666666666664,0.35854720676919877,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,4.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.08333333333333333,0.2475575025112638,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,4.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.25,0.15754963245868087,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,True,,,,,0.98,4.0,0.25,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.5,0.15891324840992826,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,4.0,0.5,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.6666666666666666,0.17338377924607637,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,4.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.98:prior_mass=4.0:q_fraction=0.9,0.2011427299458049,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,4.0,0.9,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.041666666666666664,0.36028353055094575,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.08333333333333333,0.24876829003364723,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.25,0.1578957548697846,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.25,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.5,0.15890578049499354,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.5,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.6666666666666666,0.1733027058793531,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.98:prior_mass=16.0:q_fraction=0.9,0.2010813806610728,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.98,16.0,0.9,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.041666666666666664,0.3536225639095446,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.08333333333333333,0.24576686879275156,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.25,0.16039611810581259,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.25,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.5,0.1633289632990103,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.5,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.6666666666666666,0.17818305302546977,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.6666666666666666,
41004,h_plus_total_variance,decay=0.99:prior_mass=1.0:q_fraction=0.9,0.20610820136125613,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.99,1.0,0.9,
